business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to all other miscellaneous crop farming.,10842.84,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to cattle feedlots.,19344.72,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to all other miscellaneous crop farming.,29170.17,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to grape vineyards.,11016.99,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to tobacco farming.,32180.7,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to turkey production.,5966.71,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to all other miscellaneous crop farming.,14652.11,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to peanut farming.,42487.88,EcoFarms,Procured for peanut farming operations.,Peanut Farming
Activities related to cattle feedlots.,45857.18,BioHarvest,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to nursery and tree production.,23828.67,EcoFarms,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to beef cattle ranching and farming.,47740.48,EcoFarms,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activiies realted to other aquaculture.,40654.03,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to apple orchards.,33487.9,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to grape vineyards.,6380.86,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to nursery and tree production.,10577.58,EcoFarms,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to soybean farming.,48912.15,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to floriculture production.,22337.42,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to soybean farming.,16400.04,EcoFarms,Procured for soybean farming operations.,Soybean Farming
Activities related to oilseed and grain combination farming.,28991.73,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to all other miscellaneous crop farming.,11160.49,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Acitvities related tp othe raquaculture.,30346.89,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to floriculture production.,33108.18,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to beef cattle ranching and farming.,27962.41,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to berry (except strawberry) farming.,9372.24,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to rice farming.,10821.53,EcoFarms,Procured for rice farming operations.,Rice Farming
Activities related to turkey production.,18356.91,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to fruit and tree nut combination farming.,31089.99,FreshFields,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to strawberry farming.,29277.44,CropGen,Procured for strawberry farming operations.,Strawberry Farming
Irrelevant text iurednloet iettisAtaie osua  ntcrprrdd  eyvtro.ecn,10728.99,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to other noncitrus fruit farming.,25392.89,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to hog and pig farming.,21130.44,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to peanut farming.,38948.73,CropGen,Procured for peanut farming operations.,Peanut Farming
Activities related to beef cattle ranching and farming.,42273.09,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to other poultry production.,34208.97,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to sugarcane farming.,20155.33,EcoFarms,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to corn farming.,25720.49,FreshFields,Procured for corn farming operations.,Corn Farming
Activities related to corn farming.,22382.8,FreshFields,Procured for corn farming operations.,Corn Farming
Activities related to fruit and tree nut combination farming.,5874.67,FreshFields,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to fur-bearing animal and rabbit production.,34207.34,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Irrelevant text t  iiteivsf edeni cArat e olthfcnrtngertldag .ienbmaaac,25281.27,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to fruit and tree nut combination farming.,18525.45,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to corn farming.,20022.62,CropGen,Procured for corn farming operations.,Corn Farming
Activities related to peanut farming.,15816.05,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to mushroom production.,48936.24,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to chicken egg production.,42972.83,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to beef cattle ranching and farming.,10201.56,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to fruit and tree nut combination farming.,4427.29,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to other food crops grown under cover.,27557.55,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to strawberry farming.,46300.12,AgriCorp,Procured for strawberry farming operations.,Strawberry Farming
Activities related to other poultry production.,49257.1,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to orange groves.,39086.87,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to sheep farming.,40319.61,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to sugarcane farming.,40424.44,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to hay farming.,18542.21,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to chicken egg production.,13269.3,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Irrelevant text ecnetisf vatie .istgntrgoa am airlcrAedu,6944.8,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to tree nut farming.,28923.23,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to hog and pig farming.,40652.18,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to dairy cattle and milk production.,7350.81,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to strawberry farming.,36543.24,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to mushroom production.,34007.33,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to mushroom production.,44532.36,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to goat farming.,33908.06,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to berry (except strawberry) farming.,17040.72,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to fur-bearing animal and rabbit production.,8365.67,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to goat farming.,8545.45,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to apple orchards.,49838.41,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to potato farming.,49275.08,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities related to all other animal production.,21499.89,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to corn farming.,28026.88,BioHarvest,Procured for corn farming operations.,Corn Farming
Activities related to other food crops grown under cover.,9285.5,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to dairy cattle and milk production.,38612.66,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to all other animal production.,17166.29,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to apiculture.,44602.19,FreshFields,Procured for apiculture operations.,Apiculture
Activities related to potato farming.,18176.72,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to turkey production.,30136.68,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to horses and other equine production.,34915.66,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to goat farming.,16436.42,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to fruit and tree nut combination farming.,39645.25,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to citrus (except orange) groves.,8735.63,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to finfish farming and fish hatcheries.,24358.44,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to goat farming.,24785.34,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to sugarcane farming.,11643.06,EcoFarms,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to tobacco farming.,13249.01,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to other vegetable (except potato) and melon farming.,44709.73,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to mushroom production.,17426.2,BioHarvest,Procured for mushroom production operations.,Mushroom Production
Irrelevant text viget r steaeo.Altnsorrd e ivgtoecia,37211.85,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to fruit and tree nut combination farming.,8460.88,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to poultry hatcheries.,22539.87,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to orange groves.,13432.34,FreshFields,Procured for orange groves operations.,Orange Groves
Irrelevant text nso ilobm.lrtiec  ritoedeiennit dordmits Anegcaaaniavt a ifg,21804.45,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to tree nut farming.,1926.72,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to apple orchards.,39351.34,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to potato farming.,23907.22,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to oilseed and grain combination farming.,5206.72,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to soybean farming.,44088.29,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to all other miscellaneous crop farming.,8495.13,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to sheep farming.,42771.08,CropGen,Procured for sheep farming operations.,Sheep Farming
 acn.odorttf   ttirivitmeigaAtaespoel,49350.47,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities related to other vegetable (except potato) and melon farming.,20101.18,EcoFarms,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to sugar beet farming.,1545.93,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to other aquaculture.,28720.31,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to sugar beet farming.,28911.77,FreshFields,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to tobacco farming.,11488.79,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to hay farming.,28093.64,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to other vegetable (except potato) and melon farming.,13222.46,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activoties rrlated to seep farming.,17911.27,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to dairy cattle and milk production.,20634.1,BioHarvest,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Aivities related to other poultry rpoduction.,27426.68,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to turkey production.,30592.68,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to nursery and tree production.,23676.36,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to hog and pig farming.,20004.12,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
iescr rwodogv et Afoohori  oea ne r.seprloutvdcietrncd tt,12251.06,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to other aquaculture.,11203.52,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Irrelevant text t aiancirrpaatlslr nl oAslttuegiteheers.vcei momo c eoli fd,8912.95,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to dual-purpose cattle ranching and farming.,19160.51,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to citrus (except orange) groves.,47957.64,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Actiities related to soybesn farimng.,21718.83,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activitiae related to paenut farming.,26715.09,EcoFarms,Procured for peanut farming operations.,Peanut Farming
Activities related to citrus (except orange) groves.,46614.01,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to oilseed and grain combination farming.,33732.71,FreshFields,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to hay farming.,3580.56,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to nursery and tree production.,9120.71,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to other vegetable (except potato) and melon farming.,28636.66,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to poultry hatcheries.,6038.95,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to turkey production.,26273.63,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to fruit and tree nut combination farming.,20127.97,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to chicken egg production.,31868.37,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to chicken egg production.,25175.33,CropGen,Procured for chicken egg production operations.,Chicken Egg Production
Irrelevant text t eAt.tfaeegtoe i dasm trlwiihairvnc,26821.44,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to other poultry production.,45564.41,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to chicken egg production.,30122.0,CropGen,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to beef cattle ranching and farming.,43098.01,BioHarvest,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to other vegetable (except potato) and melon farming.,25952.73,EcoFarms,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to sugar beet farming.,49592.03,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to sugar beet farming.,32584.68,FreshFields,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to apple orchards.,28774.39,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to floriculture production.,48403.7,FreshFields,Procured for floriculture production operations.,Floriculture Production
Activities related to wheat farming.,27640.49,FreshFields,Procured for wheat farming operations.,Wheat Farming
Activities related to other poultry production.,10356.14,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to other vegetable (except potato) and melon farming.,23506.16,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to wheat farming.,25349.72,EcoFarms,Procured for wheat farming operations.,Wheat Farming
Activities related to grape vineyards.,25481.77,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities related to shellfish farming.,2799.59,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to hay farming.,17886.12,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to turkey production.,41396.69,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to tree nut farming.,37223.99,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to dairy cattle and milk production.,19274.69,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to soybean farming.,11479.41,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to chicken egg production.,13117.27,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to berry (except strawberry) farming.,39782.96,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to shellfish farming.,33038.85,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to tobacco farming.,2410.45,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to horses and other equine production.,32056.22,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Atcivities related to lal pther grain farming.,15404.39,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to potato farming.,13235.41,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to tree nut farming.,6267.63,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
Actviitirs reated to all other grain farming.,13870.83,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to soybean farming.,15286.08,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to berry (except strawberry) farming.,4894.25,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to cotton farming.,27180.76,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to broilers and other meat type chicken production.,25817.15,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to tree nut farming.,2521.62,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to rice farming.,31214.71,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to dairy cattle and milk production.,1510.24,BioHarvest,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to broilers and other meat type chicken production.,8911.56,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to sugar beet farming.,16911.33,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to turkey production.,31867.66,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to apple orchards.,15501.28,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to corn farming.,19130.06,EcoFarms,Procured for corn farming operations.,Corn Farming
Activiites related t other vegetable (except potato) and melon farmin.,49984.1,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Irrelevant text dreodbevattiepltioxtge  ser seniAaiicyae  n)os f(letmc.,40142.49,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to sheep farming.,20602.19,EcoFarms,Procured for sheep farming operations.,Sheep Farming
Activities related to tree nut farming.,38252.79,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
eAluvhectryoeireiaoht d.p sat etil rtcsit,26636.65,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to beef cattle ranching and farming.,5186.05,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to chicken egg production.,45958.55,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to cattle feedlots.,44741.56,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to oilseedand grain combination faming.,8624.29,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Atcivities related to bef cattle ranching and farming.,39732.74,BioHarvest,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to citrus (except orange) groves.,28153.36,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to turkey production.,29272.46,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to floriculture production.,40008.27,EcoFarms,Procured for floriculture production operations.,Floriculture Production
Activities related to cattle feedlots.,34379.9,BioHarvest,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to goat farming.,26932.28,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to poultry hatcheries.,16734.78,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to grape vineyards.,49290.85,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to oilseed and grain combination farming.,1759.28,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to nursery and tree production.,10087.13,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to fruit and tree nut combination farming.,7385.28,AgriCorp,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to other vegetable (except potato) and melon farming.,5108.48,BioHarvest,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
eeetunAiia t crttutvliruroid. itcsedpofl ocorl,46744.2,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activitise relatedt o hay farming.,35875.2,BioHarvest,Procured for hay farming operations.,Hay Farming
Irrelevant text ooo  vn tehitumtistlicAutrodecapimrs.ore d,38255.0,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to other noncitrus fruit farming.,27007.48,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to sugarcane farming.,1184.57,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to chicken egg production.,6547.83,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to apiculture.,44578.67,CropGen,Procured for apiculture operations.,Apiculture
Activities related to sugarcane farming.,25464.62,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to all other miscellaneous crop farming.,35262.16,FreshFields,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to rice farming.,24470.22,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to shellfish farming.,38238.64,AgriCorp,Procured for shellfish farming operations.,Shellfish Farming
Activities related to all other miscellaneous crop farming.,23023.12,FreshFields,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to other noncitrus fruit farming.,36614.22,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to citrus (except orange) groves.,19668.86,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to cotton farming.,29510.36,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to broilers and other meat type chicken production.,33662.67,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to potato farming.,21377.55,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to finfish farming and fish hatcheries.,14896.88,BioHarvest,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to apiculture.,11892.16,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to potato farming.,24200.8,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to citrus (except orange) groves.,39232.31,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities relatrd to other poultry prodction.,21140.72,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to goat farming.,7170.51,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to grape vineyards.,32601.2,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities rlated to otato farming.,47306.91,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities relat eto mushroom production.,1267.36,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to hog and pig farming.,46419.85,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Irrelevant text  Alolpir.l da utieaoservn itoetichdmaie cno rtltta,17768.88,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to sugar beet farming.,32952.52,BioHarvest,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to corn farming.,46813.31,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to broilers and other meat type chicken production.,21502.81,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to apple orchards.,32446.51,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to apiculture.,34741.58,CropGen,Procured for apiculture operations.,Apiculture
Activitis related to all othre grain farming.,1739.55,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to berry (except strawberry) farming.,45035.32,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to grape vineyards.,41963.7,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to all other grain farming.,40192.9,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to tree nut farming.,22352.43,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to citrus (except orange) groves.,12491.0,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to shellfish farming.,34999.08,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to dairy cattle and milk production.,25754.93,BioHarvest,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to berry (except strawberry) farming.,23921.57,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to nursrry and tree productoon.,48586.01,EcoFarms,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to corn farming.,46345.61,CropGen,Procured for corn farming operations.,Corn Farming
Activities related to nursery and tree production.,15104.28,EcoFarms,Procured for nursery and tree production operations.,Nursery and Tree Production
Irrelevant text gr sfrtah nepsa tde.itcoieAletieiv m,43262.11,CropGen,Procured for sheep farming operations.,Sheep Farming
Activities related to nursery and tree production.,5397.3,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to nursery and tree production.,11377.03,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to cotton farming.,37803.19,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to oilseed and grain combination farming.,4187.71,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to horses and other equine production.,23291.03,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to hay farming.,41928.71,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to horses and other equine production.,3157.93,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to berry (except strawberry) farming.,38027.49,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activitie relate dto all other grain farming.,2172.42,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to berry (except strawberry) farming.,13820.11,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to other noncitrus fruit farming.,22491.81,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to sugarcane farming.,13973.15,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to other poultry production.,38514.33,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to all other animal production.,31869.1,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to dairy cattle and milk production.,11131.4,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to dual-purpose cattle ranching and farming.,4894.15,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to other aquaculture.,25893.63,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to fur-bearing animal and rabbit production.,46547.71,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to beef cattle ranching and farming.,45063.98,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to turkey production.,11377.93,FreshFields,Procured for turkey production operations.,Turkey Production
Activitoes related t onursery and tree produtcion.,34057.22,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
